ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
OED,37440.99536,37190.15462,37452.62624,37987.76349,35611.70828,36044.18396,37415.71201,39329.58576,39482.13857
OMN,20876.78803,21872.62025,20865.79182,20035.17398,16028.61152,14618.73313,15130.52074,16521.18228,15343.062
OSS,14896.27935,15219.4406,15556.07372,15753.51294,12807.90613,12402.35697,13230.82501,14382.79798,13777.91656
PAK,1164.976129,1198.109001,1208.90431,1251.164104,1356.667756,1368.454326,1464.993305,1482.305667,1284.702041
PAN,9358.251475,10722.28363,11889.12763,12796.07004,13630.30797,14343.96363,15150.34561,15592.57368,15731.01603
PER,5869.32308,6528.972218,6756.752769,6672.880255,6229.101696,6204.99726,6710.508029,6941.235848,6977.695784
PHL,2450.733656,2694.305473,2871.430902,2959.648452,3001.040371,3073.653615,3123.234229,3252.092324,3485.084218
PLW,11096.70893,12040.69161,12559.19573,13710.98377,15876.46193,16646.84908,16066.19497,15660.6746,14901.98353
PNG,2406.909678,2790.67667,2729.891904,2920.783721,2679.345589,2509.631457,2695.251883,2801.373997,2829.170309
POL,13879.56099,13097.27085,13696.4663,14271.30585,12578.49547,12447.43959,13864.68176,15468.48222,15692.50703
PRE,1568.493608,1678.590254,1788.496309,1834.320625,1584.9292,1400.231865,1416.520679,1455.982289,1485.649585
PRI,27278.88305,27944.73389,28513.16574,28981.45733,29763.4883,30627.1634,31108.75275,31621.89347,32873.71927
PRK,,,,,,,,,
PRT,23186.91313,20564.88986,21647.04181,22074.30076,19242.36647,19978.40121,21490.42986,23562.55452,23252.05852
PRY,5322.96376,5183.082877,5926.832863,6102.943233,5406.703857,5319.410218,5680.580768,5805.675616,5414.799138
PSE,2880.798437,3067.438727,3315.297539,3352.112595,3272.154324,3527.613824,3620.360487,3562.330943,
PSS,3451.503949,3624.678381,3721.28613,3987.523359,3841.599487,3967.604572,4216.561939,4341.143524,4264.667414
PST,42366.74052,42151.44803,42391.54145,43070.9679,40586.75131,41298.90268,42928.69216,45319.26122,45615.11518
PYF,,,,,,,,,
QAT,82409.57733,85076.1415,85050.86635,83858.47685,63039.06349,57163.07568,59124.93237,65908.0669,62088.06183
ROU,9099.217539,8507.104775,9547.852151,10043.67745,8969.148921,9548.587403,10807.79539,12399.88934,12919.52964
RUS,14311.08432,15420.87454,15974.64463,14095.64874,9313.013625,8704.898413,10720.33259,11370.81346,11584.99538
RWA,668.8689634,725.6276813,723.2583128,743.9947582,751.6393697,745.3427516,772.3184718,783.2871842,820.0252417
SAS,1367.313138,1364.416403,1381.856627,1494.420765,1541.803699,1650.330139,1866.159019,1898.971004,1956.575921
SAU,23745.80161,25243.3587,24844.74437,24463.90316,20627.93278,19879.29753,20803.74592,23338.96346,23139.79866
SDN,1437.773295,1457.894582,1557.22831,1709.999605,1909.738755,1299.261195,1111.868449,623.8672524,441.5056034
SEN,1373.520789,1329.981379,1376.069816,1396.658225,1219.248662,1269.902108,1361.699588,1465.591006,1446.830965
SGP,53890.42873,55546.48854,56967.42579,57562.53079,55646.61875,56828.29535,60913.74533,66188.7794,65233.28244
SLB,1938.894767,2141.829226,2248.591321,2274.887866,2167.173826,2225.490435,2332.814874,2441.517393,2373.63247
SLE,448.3375255,566.3786569,716.8353047,714.7007124,588.2284527,501.4157129,499.3807078,533.9911843,527.5336344
SLV,3266.012062,3428.40718,3509.531493,3589.042193,3705.577946,3805.993666,3910.257193,4067.659449,4187.250031
SMR,57286.655,49985.34957,51572.56817,50806.53438,42660.33816,43826.92431,45399.02906,48995.142,
SOM,,,,,,,,,
SRB,6809.159804,6015.945228,6755.073675,6600.056809,5588.980728,5765.200762,6292.543629,7252.401858,7411.836116
SSA,1728.556269,1770.422136,1835.662259,1854.67645,1658.630611,1495.049768,1551.283751,1583.513056,1583.926069
SSD,1516.403915,1179.739828,1779.469334,1322.820239,1119.651333,,,,
SSF,1740.051699,1781.6952,1847.303556,1866.683379,1669.496761,1506.429765,1563.36124,1596.147083,1596.213739
SST,13208.94091,13526.84624,13821.04603,14012.21432,11749.04324,11353.62371,12048.34977,13013.75137,12615.20349
STP,1254.517923,1330.547404,1564.675304,1770.46575,1584.82776,1700.046541,1813.783235,1953.58829,1946.643614
SUR,8263.203803,9200.974786,9402.164419,9471.922001,8562.081369,5539.1179,5637.514946,6015.164607,6359.833614
SVK,18361.56948,17481.89544,18260.01577,18674.34406,16310.98841,16508.67036,17556.60082,19406.34753,19266.2755
SVN,25095.13229,22643.10025,23496.6025,24214.92207,20881.76693,21663.64341,23512.81727,26115.91337,25946.18219
SWE,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039,51615.02065
SWZ,4496.600379,4527.668988,4230.344056,4038.557228,3679.799799,3425.559509,3914.613252,4106.197153,3894.679807
SXM,27997.28983,28460.33262,27942.88054,33043.68838,32274.89055,31616.6817,29369.05683,29160.10381,
SYC,12189.09516,12006.68296,14765.67398,14700.33434,14745.34146,15068.62035,15906.08391,16390.82491,17448.27029
SYR,,,,,,,,,
TCA,21835.08404,21345.65256,21716.56445,23779.86372,26182.42962,28240.7068,27545.87094,29554.70596,31353.32932
TCD,984.7358915,967.3527975,979.8124096,1020.288204,776.0195323,693.4493865,665.9483527,726.1498811,709.5403101
TEA,4910.536158,5436.224366,5954.183834,6373.317553,6591.780256,6682.125802,7249.101815,8055.429563,8278.073975
TEC,10017.76245,10406.44241,10973.1245,10319.3232,8007.285013,7665.377184,8552.952761,8894.629648,9017.538951
TGO,587.0971368,571.8067239,621.3988536,640.9342196,570.910279,597.4710888,626.0915279,679.9727606,679.2902491
THA,5492.121256,5860.582507,6168.262985,5951.883702,5840.046523,5994.231475,6592.914902,7295.475616,7806.742211
TJK,847.3821018,969.2964731,1048.227293,1104.171689,929.0958572,802.5180041,806.0415731,826.6215305,870.7875893
TKM,5649.952278,6675.185658,7304.287132,7962.239098,6432.680702,6389.548408,6587.090316,6966.635411,
TLA,10140.02156,10123.7367,10259.36423,10347.54534,8742.373,8429.033959,9303.048562,8934.498183,8702.137464
TLS,947.5133203,1013.050025,1210.032646,1232.456096,1332.782859,1353.747925,1286.405751,1230.228191,1560.509822
TMN,4644.825584,5036.030922,4624.13536,4484.941843,3964.475378,3947.218704,3816.596803,3975.048437,
TON,4002.659165,4581.738647,4428.146521,4354.028863,4336.196576,4158.288378,4513.609531,4740.792149,4903.152903
TSA,1367.313138,1364.416403,1381.856627,1494.420765,1541.803699,1650.330139,1866.159019,1898.971004,1956.575921
TSS,1740.051699,1781.6952,1847.303556,1866.683379,1669.496761,1506.429765,1563.36124,1596.147083,1596.213739
TTO,19034.1492,19157.41704,20143.66445,20270.85937,18289.70434,16176.94737,16238.19319,17129.91309,17397.98176
TUN,4264.674946,4152.678587,4222.703245,4305.474165,3861.688531,3697.930831,3481.228739,3438.789089,3317.453593
TUR,11420.77326,11795.31671,12614.48026,12157.33796,11006.24974,10895.31869,10591.47437,9455.593654,9126.561346
TUV,3640.72324,3507.940655,3454.828692,3398.706483,3197.772252,3255.928693,3572.493579,3700.744263,4059.029996
TZA,781.4370143,867.8676806,970.4169384,1030.092917,947.9334465,966.4746224,1004.841121,1060.994615,1122.12181
UGA,829.0103449,786.7280528,806.5955214,879.7202333,843.6294158,733.4312512,747.1969074,770.4524533,794.3410779
UKR,3569.758121,3855.417729,4029.711252,3104.643206,2124.662319,2187.73051,2640.675677,3096.817402,3659.031312
UMC,7227.93001,7680.993397,8073.307643,8261.032726,7698.211065,7632.381923,8368.500477,8906.203544,9013.749964
