Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","26/04/2021 14:32 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=0DHmas
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2019,"Western Sahara",ESH,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,16
2019,Afghanistan,AFG,Egypt,EGY,0,5,0,,8,0,,13,,5,0,0,,8,0,13,,,26
2019,Burundi,BDI,Egypt,EGY,5,0,0,,14,0,,19,,5,0,0,,26,0,31,,,50
2019,"Central African Rep.",CAF,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,31,0,31,,,36
2019,Chad,TCD,Egypt,EGY,0,5,5,,15,0,,25,,0,0,6,,16,0,22,,,47
2019,Cameroon,CMR,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,8,0,8,,,13
2019,Congo,COG,Egypt,EGY,0,5,0,,0,0,,5,,0,0,5,,5,0,10,,,15
2019,"Dem. Rep. of the Congo",COD,Egypt,EGY,0,7,6,,13,0,,26,,0,0,6,,20,0,26,,,52
2019,Djibouti,DJI,Egypt,EGY,0,0,0,,0,0,,0,,0,0,0,,13,0,13,,,13
2019,Eritrea,ERI,Egypt,EGY,339,601,569,,2977,120,,4606,,440,629,915,,2197,69,4250,,,8856
2019,Ethiopia,ETH,Egypt,EGY,271,137,110,,1865,5,,2388,,270,149,100,,1681,9,2209,,,4597
2019,Palestinian,PSE,Egypt,EGY,0,0,0,,7,0,,35002,,0,8,0,,6,0,35008,,,70010
2019,Guinea,GIN,Egypt,EGY,0,0,0,,0,0,,0,,0,6,0,,0,0,6,,,6
2019,"Cote d'Ivoire",CIV,Egypt,EGY,0,6,8,,26,0,,40,,0,9,7,,41,0,57,,,97
2019,Iraq,IRQ,Egypt,EGY,73,188,266,,1454,220,,2201,,59,205,296,,1418,237,2215,,,4416
2019,Jordan,JOR,Egypt,EGY,0,0,0,,0,0,,0,,0,0,0,,11,0,11,,,11
2019,Kenya,KEN,Egypt,EGY,0,6,0,,0,0,,6,,0,0,0,,0,0,0,,,6
2019,Nigeria,NGA,Egypt,EGY,0,0,0,,7,0,,7,,0,8,0,,6,0,14,,,21
2019,"Russian Federation",RUS,Egypt,EGY,0,8,0,,0,0,,8,,0,0,0,,0,0,0,,,8
2019,Rwanda,RWA,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,0,0,0,,,5
2019,"Saudi Arabia",SAU,Egypt,EGY,0,0,0,,0,0,,0,,0,5,0,,0,0,5,,,5
2019,"Sierra Leone",SLE,Egypt,EGY,0,0,0,,0,0,,0,,5,0,0,,0,0,5,,,5
2019,Somalia,SOM,Egypt,EGY,173,197,239,,1571,75,,2255,,196,212,247,,1034,22,1711,,,3966
2019,Sudan,SDN,Egypt,EGY,1306,1994,1560,,5355,163,,10378,,1299,2109,1720,,6099,257,11484,,,21862
2019,"South Sudan",SSD,Egypt,EGY,849,1398,1062,,4188,156,,7653,,914,1441,1019,,3755,41,7170,,,14823
2019,"Syrian Arab Rep.",SYR,Egypt,EGY,6550,11445,7760,,33127,3360,,62242,,7010,11876,8357,,36371,3355,66969,,,129211
2019,Tajikistan,TJK,Egypt,EGY,0,0,0,,5,0,,5,,0,0,0,,7,0,7,,,12
2019,Turkmenistan,TKM,Egypt,EGY,0,0,5,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,Uganda,UGA,Egypt,EGY,0,0,0,,6,0,,6,,0,0,0,,5,0,5,,,11
2019,Yemen,YEM,Egypt,EGY,0,5,22,,32,0,,59,,5,13,10,,38,0,66,,,125
2019,Zimbabwe,ZWE,Egypt,EGY,0,5,0,,11,0,,16,,0,0,0,,11,0,11,,,27
2019,Stateless,XXA,Egypt,EGY,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Afghanistan,AFG,Argentina,ARG,0,0,0,,5,0,,5,,0,0,0,,7,0,7,,,12
2019,Albania,ALB,Argentina,ARG,0,0,0,,5,5,,10,,0,0,0,,8,0,8,,,18
2019,Algeria,DZA,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,25,5,30,,,30
2019,Angola,AGO,Argentina,ARG,0,0,0,,5,0,,5,,0,0,0,,9,0,9,,,14
2019,Egypt,EGY,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Armenia,ARM,Argentina,ARG,0,0,0,,23,15,,38,,0,0,0,,33,6,39,,,77
2019,Burundi,BDI,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Bangladesh,BGD,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,"Bolivia (Plurinational State of)",BOL,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,"Bosnia and Herzegovina",BIH,Argentina,ARG,0,0,0,,6,0,,6,,0,0,0,,0,0,0,,,6
2019,Chile,CHL,Argentina,ARG,0,0,0,,24,0,,24,,0,0,0,,0,10,10,,,34
2019,Cameroon,CMR,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,7,0,7,,,7
2019,"Dem. Rep. of the Congo",COD,Argentina,ARG,0,0,5,,7,0,,12,,0,5,0,,8,0,13,,,25
2019,Colombia,COL,Argentina,ARG,0,5,15,,217,28,,265,,0,6,18,,254,15,293,,,558
2019,"Costa Rica",CRI,Argentina,ARG,0,0,5,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,Cuba,CUB,Argentina,ARG,0,0,5,,60,29,,94,,0,0,5,,130,28,163,,,257
2019,Ecuador,ECU,Argentina,ARG,0,5,5,,0,0,,10,,0,0,6,,0,0,6,,,16
2019,Ethiopia,ETH,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Palestinian,PSE,Argentina,ARG,0,0,0,,5,0,,5,,0,0,0,,13,0,13,,,18
2019,Georgia,GEO,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Ghana,GHA,Argentina,ARG,0,0,0,,7,0,,7,,0,0,0,,31,0,31,,,38
2019,Guinea-Bissau,GNB,Argentina,ARG,0,0,0,,8,0,,8,,0,0,0,,0,0,0,,,8
2019,Guatemala,GTM,Argentina,ARG,0,0,0,,6,0,,6,,0,0,0,,0,0,0,,,6
2019,Guinea,GIN,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,10,0,10,,,10
2019,Haiti,HTI,Argentina,ARG,0,0,8,,23,5,,36,,0,0,5,,31,0,36,,,72
2019,Honduras,HND,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,"Cote d'Ivoire",CIV,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,20,0,20,,,20
2019,India,IND,Argentina,ARG,0,0,0,,5,0,,5,,0,0,0,,13,5,18,,,23
2019,"Iran (Islamic Rep. of)",IRN,Argentina,ARG,0,0,0,,0,5,,5,,0,0,0,,13,6,19,,,24
2019,Iraq,IRQ,Argentina,ARG,0,0,0,,5,0,,5,,0,0,0,,17,0,17,,,22
2019,Jamaica,JAM,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,11,0,11,,,11
2019,Kazakhstan,KAZ,Argentina,ARG,0,0,0,,9,0,,9,,0,0,0,,9,0,9,,,18
2019,Kyrgyzstan,KGZ,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Liberia,LBR,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,35,7,42,,,42
2019,"Sri Lanka",LKA,Argentina,ARG,0,0,0,,6,0,,6,,0,0,0,,18,12,30,,,36
2019,"North Macedonia",MKD,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,9,0,9,,,9
2019,Mali,MLI,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,9,0,9,,,9
2019,Nicaragua,NIC,Argentina,ARG,0,0,0,,8,0,,8,,0,0,0,,0,0,0,,,8
2019,Nigeria,NGA,Argentina,ARG,0,0,8,,8,0,,16,,0,0,0,,25,0,25,,,41
2019,Pakistan,PAK,Argentina,ARG,0,0,5,,7,0,,12,,0,0,5,,21,0,26,,,38
2019,Paraguay,PRY,Argentina,ARG,0,0,0,,9,0,,9,,0,0,0,,0,0,0,,,9
2019,Peru,PER,Argentina,ARG,0,0,0,,211,61,,272,,0,0,0,,204,68,272,,,544
2019,Romania,ROU,Argentina,ARG,0,0,0,,16,5,,21,,0,0,0,,24,6,30,,,51
2019,"Russian Federation",RUS,Argentina,ARG,0,0,5,,26,6,,37,,0,0,0,,36,6,42,,,79
2019,"El Salvador",SLV,Argentina,ARG,0,0,6,,11,0,,17,,0,5,0,,10,0,15,,,32
2019,Senegal,SEN,Argentina,ARG,0,0,0,,8,0,,8,,0,0,0,,28,5,33,,,41
2019,"Sierra Leone",SLE,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,37,0,37,,,37
2019,Somalia,SOM,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Sudan,SDN,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,"Syrian Arab Rep.",SYR,Argentina,ARG,0,16,12,,108,22,,158,,0,27,26,,165,25,243,,,844
2019,Turkey,TUR,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,7,0,7,,,7
2019,Ukraine,UKR,Argentina,ARG,0,9,0,,38,7,,54,,0,8,0,,50,5,63,,,117
2019,"United States of America",USA,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,"Venezuela (Bolivarian Republic of)",VEN,Argentina,ARG,6,9,6,,111,7,,139,,11,10,7,,137,5,170,,,173652
2019,Yemen,YEM,Argentina,ARG,0,0,5,,7,0,,12,,0,0,0,,7,0,7,,,19
2019,"Unknown ",,Argentina,ARG,0,0,0,,335,0,,335,,0,0,0,,309,0,309,,,644
2019,Afghanistan,AFG,Armenia,ARM,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Egypt,EGY,Armenia,ARM,5,0,0,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,Azerbaijan,AZE,Armenia,ARM,0,0,0,,469,269,,738,,0,0,0,,410,167,577,,,1888
2019,Palestinian,PSE,Armenia,ARM,0,0,0,,0,0,,0,,0,0,0,,7,0,7,,,7
2019,Georgia,GEO,Armenia,ARM,0,0,0,,8,0,,8,,0,0,0,,0,0,0,,,8
2019,"Cote d'Ivoire",CIV,Armenia,ARM,0,0,0,,0,0,,0,,0,0,0,,6,0,6,,,6
2019,"Iran (Islamic Rep. of)",IRN,Armenia,ARM,7,0,0,,18,0,,25,,5,0,6,,32,0,43,,,68
2019,Iraq,IRQ,Armenia,ARM,33,53,64,,325,72,,547,,38,47,61,,337,57,540,,,1087
2019,Lebanon,LBN,Armenia,ARM,0,0,0,,9,0,,9,,0,5,0,,10,0,15,,,24
2019,Nigeria,NGA,Armenia,ARM,0,5,0,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,"Syrian Arab Rep.",SYR,Armenia,ARM,25,40,32,,188,47,,332,,23,41,48,,242,44,398,,,14730
2019,Turkey,TUR,Armenia,ARM,0,0,0,,0,0,,0,,0,0,0,,9,0,9,,,9
2019,Ukraine,UKR,Armenia,ARM,10,11,0,,44,0,,65,,5,9,9,,28,0,51,,,116
2019,Yemen,YEM,Armenia,ARM,0,0,0,,5,0,,5,,5,0,0,,12,0,17,,,22
2019,Stateless,XXA,Armenia,ARM,0,0,0,,402,70,,472,,0,0,0,,419,70,489,,,961
2019,Afghanistan,AFG,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,11585
2019,Albania,ALB,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,46
2019,Algeria,DZA,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,Egypt,EGY,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,1531
2019,Azerbaijan,AZE,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,9
2019,Bahrain,BHR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,92
2019,Burundi,BDI,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,38
2019,Bangladesh,BGD,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,404
2019,Bhutan,BTN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
